IPCC_annex;C_group_IM24_sh;Country_code_A3;Name;Substance;Y_1970;Y_1971;Y_1972;Y_1973;Y_1974;Y_1975;Y_1976;Y_1977;Y_1978;Y_1979;Y_1980;Y_1981;Y_1982;Y_1983;Y_1984;Y_1985;Y_1986;Y_1987;Y_1988;Y_1989;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022;Y_2023
Annex_I;Central Europe;BGR;Bulgaria;CO2;69062,94448;69000,51839;71312,25276;72292,66432;73160,42998;78266,97412;79142,34103;82148,85503;88207,79036;91484,91799;94605,97022;90719,5299;92591,99466;91651,35816;90112,26434;92278,51727;93376,15166;93714,96871;92857,61784;91701,52081;80052,1788;64918,80245;62021,9756;62834,31817;60022,49146;61366,5126;61660,27158;59328,44971;56854,78829;50118,57369;48174,75517;50422,20915;47594,52488;53460,18826;51460,8682;52488,064;54033,27436;57636,896;54560,77118;46534,24853;49507,65645;54782,56437;49915,05073;44450,94818;47314,84793;49854,20893;47122,41811;49279,52294;46233,11248;44573,08459;39490,88267;45785,48242;50068,13094;39792,56593
Non-Annex_I;Middle_East;BHR;Bahrain;CO2;2978,116413;2996,84836;3585,204946;4523,427742;5331,117251;5501,074356;5968,610635;6589,37988;6973,984418;7441,169553;7542,99908;8075,793578;8508,182951;8834,742787;9044,755066;9647,8909;10969,1537;10721,29574;11314,99154;11420,45227;11996,93725;11569,2434;13615,28015;14727,74675;14999,59808;15243,18926;15794,2455;16259,63671;17234,47311;17325,87905;17771,45182;18402,53955;19226,92236;19896,05788;19920,63645;23370,16265;25448,95226;25851,91373;27668,94597;27655,57346;28835,26298;29003,52742;30216,34438;32130,8364;33302,17834;33475,52518;33461,78679;33755,92213;33824,00808;36847,31099;36844,52497;37275,58717;36289,08617;37425,57341
Non-Annex_I;Rest Central America;BHS;Bahamas;CO2;1441,14103;1463,679726;1725,470176;1717,93742;1501,457906;1536,842721;1356,527256;1506,25577;1527,4932;1573,762276;1545,943722;1359,683589;1114,940188;821,3743438;805,8256167;714,0687012;747,7320184;883,3662149;902,4625255;1056,958011;1086,1844;981,4043131;846,3926157;869,967754;964,3739494;1115,223267;1244,716303;1255,149159;1442,072016;1295,937265;996,7839382;992,0309094;1086,278299;809,0833584;873,5653332;860,1271099;1094,971849;1313,326903;1361,287585;1132,328322;1282,929735;854,0585111;1016,91645;1091,001593;1136,191903;1120,223126;1245,349701;1373,617077;1542,561003;1771,89067;1437,416362;1590,065076;1596,758066;1683,711665
Non-Annex_I;Central Europe;BIH;Bosnia and Herzegovina;CO2;11536,43815;11573,24964;11369,59372;12389,46492;13418,69376;13689,8475;13547,28333;14274,66335;14959,83238;15456,68096;14894,13193;16495,81242;17080,40949;18083,90222;18843,26492;19848,10747;20783,25501;19204,41688;19545,82909;19886,13387;24573,1294;21991,12136;16227,68405;13619,39878;3299,205965;3513,844666;4398,457569;8722,320626;11049,95303;10891,26082;14280,19955;14095,80789;14827,23354;15187,70104;16031,75851;16843,92488;18688,23587;19722,79985;21649,85118;21657,72;22215,22064;25265,56616;23308,38997;23210,75575;20791,96706;20825,20505;23501,66701;23987,12777;24059,63387;22593,48822;22530,87991;22964,84492;22712,67052;21996,74836
Annex_I;Ukraine +;BLR;Belarus;CO2;60088,81766;60184,86215;64294,58139;70266,75364;76069,07592;81716,71738;85278,68764;88196,43746;91829,38652;95034,69242;98566,80178;100447,9017;101384,9126;101920,3764;101450,6088;101444,5542;101894,3975;102491,0464;100900,6519;97422,20102;105531,6019;101640,4636;91839,53913;79290,35366;67591,74959;60425,0407;61356,34674;61804,7496;60305,49914;58159,41189;56257,89614;54985,82722;55188,84032;55829,72161;59185,81298;60017,12663;62460,32903;61054,94049;64761,21996;61623,29748;66117,70251;62963,61902;64266,30854;64427,35171;63968,78584;59166,76946;59061,75316;60220,98613;63559,1287;61374,53037;58165,59914;58637,74658;56826,5934;54175,66063
Non-Annex_I;Rest Central America;BLZ;Belize;CO2;59,32026152;59,28191877;72,03542098;72,67517606;64,84402333;78,3395452;71,10410796;78,42705811;78,44806511;77,60100963;76,73288311;70,67835077;61,81708402;60,61159569;72,01737629;72,27943355;93,46616121;81,36763223;63,91692513;96,0549086;125,6023439;144,0378155;120,1244331;117,1384295;113,6594008;128,4797522;106,6539342;184,4161118;187,4365668;195,7915262;138,3101384;140,6346504;140,4916002;148,2048795;135,9813271;149,8092589;173,6182189;167,6205033;161,764973;195,8687895;232,5149129;149,0885805;162,2036657;204,5160301;203,5227785;246,0215237;259,3957976;283,3504158;246,588389;268,5155921;219,0428323;245,6282793;261,7249858;278,4505044
Non-Annex_I;Rest Central America;BMU;Bermuda;CO2;138,787477;138,6788236;168,9545927;170,4591548;151,8525911;183,8952014;166,6993882;184,079002;184,1171933;182,0921192;180,0135907;153,466741;152,1078163;157,5334691;170,4713564;166,3353098;162,9640137;248,2456526;291,5495878;362,5484107;252,5041928;227,915538;180,1037865;201,0272666;199,1286567;200,220526;204,1497275;209,5949724;214,5801277;217,3841994;150,3454074;148,5924662;165,4799085;170,9511089;172,9026189;185,9380217;231,5812205;277,0658424;278,783055;244,6449811;308,9378604;153,2944713;177,6204906;197,7977179;271,8298102;230,5009552;311,4820286;285,1794788;311,987029;358,3609817;315,4702762;331,0730168;332,4386591;350,5188602
Non-Annex_I;Rest South America;BOL;Bolivia;CO2;3022,540056;3770,221192;4495,357744;4185,44747;3984,960644;4532,868918;5122,06957;4920,447281;5607,441181;4989,459726;4976,776639;5296,440535;5519,088454;5683,435297;5193,198891;5114,660901;4765,207196;4948,658973;5358,95269;6170,289287;6581,624573;6897,527838;7429,502534;8887,48846;9592,249195;8671,848821;8383,008549;10164,66373;10171,50247;8873,48778;8200,68946;7931,747431;8462,967105;9013,757956;9445,125232;9929,322421;10773,01137;11986,74616;12833,69133;13648,12187;14778,46035;16079,59547;17025,53673;18082,94411;19444,90504;19934,75553;21342,63708;21759,47793;21939,56769;21978,47183;18544,53965;21810,74716;22737,36949;23806,93239
Non-Annex_I;Brazil;BRA;Brazil;CO2;106932,1509;106575,3433;116203,0715;135154,0973;145941,3933;156425,227;171864,7437;179536,7706;194206,3425;207387,1166;207123,8262;191279,2755;189322,3967;181629,3215;184758,0546;198052,4944;216933,3853;222932,6581;227770,9716;230971,1848;226894,5082;235269,7389;238701,4786;249340,8405;258758,4419;279961,1129;300603,7438;319246,0821;328546,0569;335897,0319;349397,1524;351312,7846;351409,9679;346459,4829;365238,2288;369183,0302;373639,2134;393047,5733;412700,2787;385461,2758;439769,3984;463501,3026;497723,0581;523208,0062;546149,7539;517589,6408;482429,2999;494498,593;470768,5944;468126,1649;447423,5472;505991,4872;478914,2661;479504,2293
Non-Annex_I;Rest Central America;BRB;Barbados;CO2;254,9394126;254,7480759;308,3613542;304,9101709;272,1140615;327,9426191;306,5375368;335,2402567;344,9615116;345,543421;345,0015212;342,5740557;327,0346968;342,2400679;410,088827;499,0142992;539,3693235;510,1131944;523,1071888;595,904265;615,6171713;587,1441632;570,6103576;543,0292513;528,7031134;541,26601;529,27267;628,6659961;691,65754;724,3071934;588,5470623;565,5938821;606,7169839;638,2104056;631,843548;646,5337337;698,8623285;671,6811034;791,9706347;798,5874014;820,3448965;679,2570489;643,4642944;730,8295007;667,8580062;720,2830393;773,6018993;682,4143767;739,1222363;834,1989862;671,5600478;757,2043506;759,8419647;796,2129445
